352.943	249.648	625.099	693.326
626.176	692.453	1010.95	380.933
870.979	0.956451	352.446	246.832
1011.34	297.314	872.785	4.57489
1279.19	329.062	1011.22	375.554
427.289	151.825	335.591	0.247253
320.839	1.1025	406.784	136.137
361.108	273.767	383.876	382.026
888.479	146.099	513.91	362.844
82.4643	342.738	-0.173183	325.832
1096.5	143.325	829.402	294.097
1082.88	276.62	1012.45	299.386
93.789	1.2426	147.811	48.2172
1034.96	249.042	1032.3	183.028
135.852	153.488	73.4037	121.062
1088.33	338.976	1083.02	237.024
658.365	610.785	448.301	257.82
704.272	578.273	501.794	228.539
745.378	542.789	554.545	204.257
845.539	57.0606	447.859	255.718
865.304	102.567	482.193	309.351
787.094	514.402	602.328	178.268
824.038	481.981	648.787	155.644
951.697	272.982	602.691	516.993
145.967	278.945	193.01	250.681
991.899	354.137	659.626	612.808
969.694	315.587	633.919	563.888
826.192	300.288	576.938	464.905
861.45	455.245	693.288	135.85
173.997	204.495	131.294	232.94
895.397	426.794	735.119	115.451
908.098	190.162	640.954	355.552
454.005	500.762	503.004	501.838
929.184	401.906	774.215	95.8942
1082.26	233.996	1037.23	250.611
960.099	375.942	810.864	75.0342
1210.46	82.483	1226.16	126.943
990.204	351.897	846.753	59.1268
889.712	37.5118	915.642	1.46191
84.9518	306.422	127.848	311.328
240.176	208.643	200.073	203.438
175.942	30.1296	148.557	0.485148
383.122	367.472	403.451	333.67
50.0809	251.686	12.2723	241.943
316.164	198.84	278.078	193.451
1241.02	139.649	1278.99	142.147
1242.05	127.038	1279.01	125.222
1149.41	91.7813	1171.62	62.7092
210.422	118.437	181.762	96.9825
193.648	75.3957	183.554	41.1247
207.925	218.521	241.358	213.287
686.539	44.4275	709.148	68.7909
1037.03	364.188	1069.25	358.4
1064.21	271.481	1011.91	294.631
1118.79	139.816	1149.88	134.306
832.995	633.193	801.995	633.057
102.774	285.388	76.5371	270.079
424.737	371.617	416.21	399.761
60.152	30.8416	81.0919	50.9458
460.734	430.781	455.83	459.144
106.093	303.578	134.172	299.069
85.8515	42.1271	67.9324	21.2016
346.305	250.828	358.86	273.079
37.4995	302.089	15.1054	289.808
1197.01	59.4774	1208.5	81.7431
731.838	44.0074	730.701	19.0136
281.993	98.3331	257.003	97.8448
909.014	1.01023	894.859	20.8998
1227.98	132.658	1251.99	133.341
132.047	100.934	150.715	114.395
198.999	205.023	176.017	204.394
291.717	212.05	313.055	217.797
87.0262	634.39	65.0582	635.866
193.268	248.168	204.908	229.568
133.826	296.905	143.917	278.409
1100.48	151.856	1117.99	141.983
1259.03	131.46	1279	130.061
